Search term,Source language,to: cs,to: da,to: de,to: el,to: en,to: es,to: et,to: fi,to: fr,to: hu,to: it,to: lt,to: nl,to: pl,to: pt,to: ro,to: sv
akrobata,fr,﻿akrobata,﻿akrobata,﻿akrolata,﻿akrobata,﻿akrobata,﻿akrobata,﻿akrobata,﻿akdrolata,,﻿Entrobata,﻿akrobata,﻿akrobata,﻿Abarota,﻿akrabata,﻿akrobata,﻿akrobata,﻿akrobat
alberti,es,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti,﻿Alberti
acuarela,es,﻿Akvarel,﻿Akvarel,﻿Aquarell,﻿ακουαρέλα,﻿watercolour,,﻿akvarell,﻿Vesivärimaalaus,﻿aquarelle,﻿Akvarell,﻿acquerello,﻿akvarelė,﻿aquarelverf,﻿Akwarela,﻿aguarela,﻿acuarelă,﻿Akvarell
arrimage des vaisseaux,fr,﻿uložení plavidel,﻿stuvning af fartøjer,﻿Ladungssicherung,﻿στοιβασία σκαφών,﻿stowage of vessels,﻿estiba de los buques,﻿laevade paigutus,﻿alusten sijoittaminen,,﻿hajók tárolása,﻿stivaggio delle navi,﻿laivų sudėjimas,﻿stouwen van vaartuigen,﻿rozmieszczenie statków,﻿arrumação dos navios,﻿arimajul navelor,﻿stuvning av fartyg
abbe guichard,fr,﻿Abbe Guicard,﻿Abbe guichhard,﻿Abbe GUICHARD,﻿Abbe Guichard,﻿Abbe Guichard,﻿Abichard,﻿Abbe Guichard,﻿Abibe Guichard,,﻿Abdela Guichard,﻿Abe Guichard,﻿Abbe Guichard,﻿Abbe Guichard,﻿Abbe Guichard,﻿Abbe Guichard,﻿Abbe Guichhard,﻿Abe Guichard
academic novel,pl,﻿akademický nový,﻿den akademiske verden,﻿akademischer Roman,﻿ακαδημαϊκό μυθιστόρημα,﻿academic novel,﻿novela universitaria,﻿akadeemiline uudne,﻿akateemiset uudet,﻿un roman universitaire,﻿tudományos újdonságok,﻿romanzo accademico,﻿akademinė naujovė,﻿academicus nieuw,,﻿romance académico,﻿roman universitar,﻿akademisk examen
adefonsus,es,﻿adefonsus,﻿adefonsus,﻿Rajiformes,﻿ADefontus,﻿adefonsus,,﻿adefonsus,﻿adefonsus,﻿adfonsus,﻿Adadessus,﻿adecis,﻿adefonsus,﻿Aadefsus,﻿adefonsus,﻿adef,﻿adefonsus,﻿adefonus
Adolf Hitler,es,﻿Adolf Hitler,﻿Adolf Hitler,﻿Herr Adolf Hitler,﻿Ο Αδόλφος Χίτλερ,﻿Adolf Hitler,,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolfas Hitleris,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler,﻿Adolf Hitler
Juan Clemente,es,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Clemente,﻿Juan Clemente,﻿Juan Clemente,﻿Juan Clemente
Afonso XIII de Espanha,pt,﻿Afonso XIII Španělska,﻿Afonso XIII i Spanien,﻿Afonso XIII von Spanien,﻿Afonso XIII Ισπανίας,﻿Afonso XIII of Spain,﻿Afonso XIII de España,"﻿Afonso XIII,",﻿Afonso XIII (Espanja),﻿Afonso XIII d’Espagne,﻿Afonso XIII. Spanyolország,﻿Afonso XIII della Spagna,"﻿Afonso XIII, Ispanijos",﻿Afonso XIII van Spanje,﻿Afonso XIII Hiszpania,,﻿Afonso XIII din Spania,﻿Afonso XIII i Spanien
adana,en,﻿Adana,﻿Adana,﻿Adana,﻿Άδανα,,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana,﻿Adana
Secret tradition in alchemy,en,﻿Tajná tradice v alcheře,﻿Hemmelig tradition i almachey,﻿Geheime Tradition in Alchemie,﻿Μυστική παράδοση σε alchemy,,﻿Tradición secreta de sustancias químicas,﻿Saladus alcheys,﻿Alcheminin salainen perinne,﻿Tradition secrète en Alchemy,﻿Titkos hagyomány az almochiban,﻿Tradizione segreta in alchemy,﻿Slaptos tradicijos karchemijoje,﻿Geheime traditie in alchemie,﻿Tajnej tradycji w postaci alchochemicznego,﻿Tradição secreta em matéria de produtos químicos,﻿Tradiție secretă în alchema,﻿Hemlig tradition i alchéy
adulto mayor,es,﻿dospělí,﻿voksen,﻿Erwachsener,﻿ενήλικοι,﻿adult,,﻿täiskasvanud,﻿aikuinen,﻿adulte,﻿felnőtt,﻿adulti,﻿suaugusiųjų,﻿volwassen,﻿dorośli,﻿adultos,﻿adulți,﻿vuxen
ojeda manti,es,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda manti,,﻿Ojeda Manti,﻿Ojda Manti,﻿OJEDA Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Manti,﻿Ojeda Mantas,﻿Ojeda Mani,﻿Ojeda Manti
sanchez rojas,es,﻿Sanchez red,﻿Sanchez Red,﻿Sanchez red,﻿Sanchez red,﻿Sanchez red,,﻿Sanchez Red,﻿Sanchez red,﻿Sanchez rouge,﻿Sanchez vörös,﻿Sanchez Red,﻿Sanchez red,﻿Sanchez,﻿Sanchez red,﻿Sanchez Red,﻿Sanchez roșu,﻿Sanchez red
Achillae turkey,en,﻿Achillae krůta,"﻿Kalkun, kalkun",﻿Achchilae Truthuhn,﻿Γάλοι και γαλοπούλες,,﻿Pavos Achillae,﻿Achillae kalkun,﻿Achilae-kalkkuna,﻿Dinde d’Achille,﻿Achillae pulyka,﻿Achillae di tacchina,﻿Achillai (kalakutiena),﻿Achillae kalkoen,﻿Indyk Achillae,﻿Peru Achillato,﻿Curcani lui Achillae,﻿Achlali-kalkoner
Al oeste de Roma,es,﻿Na západ od Říma,﻿Vest for Rom,﻿Westlich von Rom,﻿Δυτικά της Ρώμης,﻿To the west of Rome,,﻿Rooma jõest lääne pool,﻿Lännestä Roomaan,﻿À l’ouest de Rome,﻿Rómától nyugatra,﻿A ovest di Roma,﻿Į vakarus nuo Romos,﻿Ten westen van Rome,﻿Na zachód od Rzymu,﻿A oeste de Roma,﻿La vest de Roma,﻿Väster om Rom
aboriginal,en,﻿domorodí,﻿oprindelige folkeslag,﻿Aboriginal,﻿οι Αβορίγινες,,﻿aborigen,﻿aborigeenid,﻿alkuperäisväestö,﻿aborigène,﻿Aboriginek,﻿aborigene,﻿gimdymas,﻿aborigineel,﻿oryginał,﻿aborígenes,﻿aborigenă,﻿aborigine
Albert ganado Map collection,en,﻿Sbírka per ganalado (Map),﻿Indsamling af afganado (Albert ganado Map),﻿Sammlung der „Albert ganado Map“ -Sammlung,﻿Συλλογή δεδομένων Albert ganado,,﻿Recogida de mapas de Albert ganado,﻿Albert ganado kaardi kogumine,﻿Albertin kangadon kartoittaminen,﻿Collecte des cartes «Albert ganado»,﻿Albert ganado gyűjtemény,﻿Ufficio per la raccolta delle mappe di Albert ganado,﻿Albert’o ganado collection,﻿Verzameling van Albert ganado,﻿Zbiór map Albert ganado,﻿Coleção do mapa do pórtico Albert,﻿Colecția Albert gantado,﻿Albert ganado Karta namninsamling
Albacete,es,﻿Albacete,﻿Albacete,﻿Albacete,﻿Albacete,﻿Albacete,,﻿Albacete,﻿Albacete,﻿Albacete,﻿Ήπειρος,﻿Albacete,﻿Albacete,﻿Albacete,﻿Albacete [pic],﻿Albacete,﻿Albacete,﻿Albacete
abraham lincoln brigade,en,﻿brigáda Lincoln,﻿Abraham Lincoln brigade,﻿Brigade Abraham Lincoln,﻿Abraham Lincoln,,﻿Abraham Lincoln Brigada,﻿Abraham Lincolni brigaad,﻿Abraham Lincoln price,﻿brigade Abraham Lincoln,﻿Abraham Lincoln brigade,﻿brigata Abraham Lincoln,﻿Abrahamas Lincon brigada,﻿Abraham Lincoln brigade,﻿Abraham Lincoln,﻿Abraham Lincoln brigada,﻿brigada Abraham Lincoln,﻿Abraham Lincoln brigader
Adamello,it,﻿Adamello Adamelo,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adamello Adameello,﻿Adatello Adamello,﻿Adamello Adamello,﻿Adamello Adacello,﻿Adamello Adaello,,﻿Adamello Adamello,﻿Adamello Adamello,﻿Adarmello Adamello,﻿Adamello Adamello,﻿Adamelo Adamelo,﻿Adamello Adamo
uniformen,it,﻿standardizovat,﻿standardisering,﻿Normierung,﻿τυποποίηση,﻿standardise,﻿normalizar,﻿standardiseerimine,﻿standardoidaan,﻿normalisation,﻿szabványosítás,,﻿standartizuoti,﻿standaardiseren,﻿zeznormalizować,﻿normalizar,﻿standardizare,﻿standardisera
agathe,fr,﻿Agathi,﻿Agathe,﻿Agathe,﻿Agathe,﻿Agathe,﻿Agathe,﻿Agathe,﻿Agathe,,﻿Agathe,﻿Agaile,﻿Asathe,﻿Agathe,﻿Agathe,﻿Agathe,﻿Agarehe,﻿Agathe
accounting equation,en,﻿účetní rovnice,﻿regnskabsligning,﻿Gleichung für die Verbuchung,﻿λογιστικός εξίσωση,,﻿ecuación contable,﻿arvestusvalem,﻿Laskentayhtälö,﻿équation comptable,﻿elszámolási egyenlet,﻿equazione contabile,﻿apskaitos lygtis,﻿boekhoudkundige vergelijking,﻿równanie księgowe,﻿equação contabilística,﻿ecuație de contabilitate,﻿redovisningsekvationen
Adrianus Eversen,nl,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversan,﻿Adrianus Everien,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adjonus Everen,,﻿Adrianus eversen,﻿Adrianus Eversen,﻿Adrianus Eversen,﻿Adrianus Eversen
Africa,en,﻿Afrika,﻿Afrika,﻿Afrika,﻿Αφρική,,﻿África,﻿Aafrika,﻿Afrikka,﻿Afrique,﻿Afrika,﻿Africa,﻿Afrika,﻿Afrika,﻿Afryka,﻿África,﻿Africa,﻿Afrika
Ernst Ostweg,en,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg,﻿Ernst Ostweg
Aguilar de Campoo,es,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campo,﻿Aguilar de Campo,﻿Aguilar de Campoo,,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo,﻿Aguilar de Campoo
A todos los chicos,es,﻿Všichni chlapci,﻿Alle drenge,﻿Alle Jungen,﻿Όλα τα αγόρια,﻿All boys,,﻿Kõik poisid,﻿Kaikki pojat,﻿Tous les garçons,﻿Minden fiú,﻿Tutti i ragazzi,﻿Visi berniukai,﻿Alle jongens,﻿Wszyscy chłopcy,﻿Todos os rapazes,﻿Toți băieții,﻿Pojkar
Adam Mickiewicz,en,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam-Mickiewicz,﻿Ο Άνταμ Μιτσκιέβιτς (Adam Mickiewicz),,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adomo Mickeviwicz,﻿Adam Mickiewicz,﻿Adama Mickiewicza,﻿Adam Mickiewicz,﻿Adam Mickiewicz,﻿Adam Mickiewicz
Graf Ostrowsky,fr,﻿Pan Graf Ostrowský,﻿Graf Ostrowsky,﻿Graf OSTROWSKY,﻿Graf Ostrowsky,﻿Mr Graf OSTROWSKY,﻿Sr. Graf Ostwsky,﻿Hr Graf Ostrowsky,﻿Graf Ostrowsky,,﻿Alexander Graf Ostowsky,﻿Sig. Graf Ostrowsky,﻿Graf Ostrowsky,﻿De heer Graf Ostrosky,﻿SZ. Pan Graf Ostrowsky,﻿Graf Ostrowsky,﻿Dl Graf Ostrowsky,﻿Graf Ostrawsky
great greec,en,﻿velké řecké,﻿Greek Greek Greek,﻿Grant Greec,﻿μέγα Greec,,﻿Graduado griego,﻿GreiGrec,﻿Greec,﻿grand grec,﻿nagyszerű Greek,﻿grande Grecia,﻿„Great Greef“,﻿Great Greet,﻿Greet Greet,﻿Greet,﻿Great Grec,﻿Great Grec
adamstahl,cs,,﻿Fapstahl,﻿Adamanstahl,﻿adamstahl,﻿adamstahl,﻿adamstahl,﻿adamstahl,﻿adampstahl,﻿adamanstahl,﻿adamstahl,﻿adadestahl,﻿adamstahl,﻿adaamhl,﻿adastahl,﻿adamestahl,﻿adamstahl,﻿adamstahl
minna canth,fi,﻿Minna Canth,﻿Minna Canth,﻿Minna Canth,﻿Minna Canth,﻿Minna canth,﻿Minna Canth,﻿Minna Canth,,﻿Minna Canth,﻿Minna Canth,﻿Mna Canth,﻿Mina Canth,﻿Minna Canth,﻿Minna Canth,﻿Minna Canth,﻿Minna Canth,﻿Minna Canth
ainstain,en,﻿ainbarvení,﻿infarvning,﻿Overhead-ina,﻿καινδόξη,,﻿ina,﻿plekk,﻿aine,﻿Aïlasure,﻿elszíneződés,﻿antimacchia,﻿ainoleumas,﻿ininakleur,﻿alplamy,﻿pós-coloração,﻿alb (ă),﻿ainfärgning
Gottfried Huppertz,de,﻿Pan Gottfried Huppertz,﻿Gottfried Hupperz,,﻿Gottfried Huppertz,﻿Mr Gottfried Huppertz,﻿Sr. Gottfried Huppert,﻿Hr Gottfried Hpertz,﻿Gottfried Huppertz,﻿Gottfried Hatppertz,﻿Gottfried Huppertz,﻿Sig. Gottfried Huptz,﻿Gottfried Huppertz,﻿De heer Gottfried Hppertz,﻿Gottfried Huppertz,﻿Gottfried Hperttz,﻿Dl Gottfried Huppertz,﻿Gottfried Huppertz
Adult situations,en,﻿Situace dospělých osob,﻿Voksne situationer,﻿Situation von Erwachsenen,﻿Περιπτώσεις ενηλίκων,,﻿Situaciones de adulto,﻿Täiskasvanute olukord,﻿Aikuisten tilanteet,﻿Situation des adultes,﻿A felnőttek helyzete,﻿Situazioni degli adulti,﻿Suaugusiųjų padėtis,﻿Situaties met betrekking tot volwassenen,﻿Sytuacje osób dorosłych,﻿Situações em adultos,﻿Situații ale adulților,﻿Situationen för vuxna
Raimundo Lulio,es,﻿Raimundo Luloo,﻿Raimundo Lulo,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo Lulio,,﻿Raimundo Lulio,﻿Raimundo Lulo,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo Lulio,﻿Raimundo Lullo
Alba Iulia,en,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia,﻿Alba Iulia
Agua,es,﻿Voda,﻿Vand,﻿Wasser,﻿Νερό,﻿Water,,﻿Vesi,﻿Vesi,﻿Eau,﻿Víz,﻿Acqua,﻿Vandens,﻿Water,﻿Woda,﻿Água,﻿Apă,﻿Vatten
A Elite,pt,﻿O elitě,﻿Om elite,﻿Auf Elite,﻿Σχετικά με την ελίτ,﻿On elite,﻿Elite,﻿Eliit,﻿Eliitille,﻿Sur une élite,﻿Elit esetében,﻿Sull'élite,﻿Dėl elito,﻿Over de elite,﻿W sprawie elity,,﻿Privind elita,﻿För eliten
advertising,en,﻿reklama,﻿reklame,﻿Werbung,﻿διαφήμιση,,﻿publicidad,﻿reklaam,﻿mainonta,﻿publicité,﻿reklám,﻿pubblicità,﻿reklamos,﻿reclame,﻿reklama,﻿publicidade,﻿publicitate,﻿reklam
vincant van,en,﻿vaninant van,﻿vanincant van,﻿van Andinant,﻿vincit van,,﻿vaninstant van,﻿vinnant van,﻿vinantti,﻿vincant van,﻿Vincantos van,﻿furgone non,﻿vinkant van,﻿vinant van,﻿vinant van,﻿vincrant van,﻿ovinant van,﻿vinckant van
spread of islam,en,﻿šíření islámka,﻿spredning af islam,﻿FALAM,﻿εξάπλωση της islam,,﻿propagación del islam,﻿gisuse levik,﻿Isallamin leviäminen,﻿écart de l’isolam,﻿az iszlam elterjedése,﻿diffusione dell'islam,﻿Mall islam,﻿verspreiding van het lam,﻿posmak izolam,﻿propagação de islam,﻿propagarea lui islam,﻿Distlam
alberti sicilia isola,it,﻿Alberti siclii Island,﻿Alberti sicilia,﻿Insel Alberti sivilia,﻿Alberti sicilia,﻿Alberti sicilia Island,﻿Alberti silia Island,﻿Alberti Ssicilia saar,﻿Alberti sicilia,﻿Île d’Alberti siccylia,﻿Alberti siciilia Island,,﻿Alberti silia sala,﻿Alberti sicilia Island,﻿Alberti sicilia Island,﻿Alberti sisicilia Island,﻿Insula Alberti Lsicilia,﻿Alberti silia Island
A painting of gauguin,en,﻿Obraz Gauguin,﻿Maling af gauin,﻿Gemälde von Gauguin,﻿Βαφή κολόκου,,﻿Un cuadro de Gauguin,﻿Gauguin’i maali,﻿Gauguinin maalaus,﻿Une peinture de Gauguin,﻿Gauguin festménye,﻿Pittura di Gauguin,﻿Gauguino dažymas,﻿Een schilderij van Gauguin,﻿Malowanie sera Gauguin,﻿A pintura de Gauguin,﻿O pictură din Gauguin,﻿Målning av Gautin
palazzo venezia,it,﻿Benátský palác,﻿Venetia-paladset,﻿Venezianisches Palast,﻿Palaenet Palace,﻿Venetian Palace,﻿Palacio de Venecia,﻿Veneetsia palee,﻿Venetsialainen palatsi,﻿Palais vénitien,﻿Velencei palota,,﻿Venecijos rūmai,﻿Venetiaanse paleis,﻿Pałac wenecki,﻿Palácio veneziano,﻿Palatul venețian,﻿Fvenetia-palatset
Rural regions of the United States,pl,﻿Venkovské regiony Spojených států,﻿Landdistrikter i USA,﻿Ländliche Regionen der Vereinigten Staaten,﻿Αγροτικές περιοχές των ΗΠΑ,﻿Rural regions of the United States,﻿Regiones rurales de los Estados Unidos,﻿Ameerika Ühendriikide maapiirkonnad,﻿Yhdysvaltojen maaseutualueet,﻿Régions rurales des États-Unis,﻿Az Egyesült Államok vidéki régiói,﻿Regioni rurali degli Stati Uniti,﻿Jungtinių Valstijų kaimo regionai,﻿Plattelandsgebieden in de Verenigde Staten,,﻿Regiões rurais dos Estados Unidos,﻿Regiuni rurale din Statele Unite ale Americii,﻿Landsbygdsregioner i Förenta staterna
correo de asturias,es,﻿Asturan Mail,﻿Asturias Mail,﻿Asturian Mail,﻿Mail Mail,﻿Asturian Mail,,﻿Asturi Mail,﻿Asturias Mail,﻿Courrier asturien,﻿Asztúriai levél,﻿Asturiano,﻿Asturias paštas,﻿Asturian Mail,﻿LIASIAN Mail,﻿Correio das Astúrias,﻿Asturian Mail,﻿Asturiska Mail
Adam van Vianen,en,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Ránné Adam van Vitoren,﻿Adam van Vitanen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen,﻿Adam van Vianen
I saw the new Poland,pl,﻿A Internal Audit of the new Poland,﻿Og Intern Revision i det nye Polen,﻿Und Interne Prüfung des neuen Polen,﻿Και εσωτερικός έλεγχος της νέας Πολωνίας,﻿And Internal Audit of the new Poland,﻿Y Auditoría Interna del nuevo Polonia,﻿Ja uue Poola siseaudit,﻿Ja uuden Puolan sisäinen tarkastus,﻿Et l’audit interne de la nouvelle Pologne,﻿És az új Lengyelország belső ellenőrzése,﻿E Audit interno della nuova Polonia,﻿Ir naujosios Lenkijos vidaus audito skyrius,﻿En Interne Audit van het nieuwe Polen,,﻿E Auditoria Interna da nova Polónia,﻿Și auditul intern al noii Polonia,﻿Och internrevision av det nya Polen
Georges Ostrowski,fr,﻿Georges OSTROWSKI,﻿Georges Ostrowski,﻿Herr Georges Ostrowski,﻿Γεώργιος Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski,,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges STROWSKI,﻿Georges Ostrowski,﻿Georges Ostrowski,﻿Georges Ostrowski
Albania Country,en,﻿Země Albánie,﻿Albanien Land,﻿Land Albanien,﻿Χώρα Αλβανία,,﻿Albania,﻿Albaania riik,﻿Albania maa,﻿Albanie,﻿Albánia ország,﻿Paese,﻿Albanijos šalis,﻿Albanië land,﻿Kraj Albanii,﻿País da Albânia,﻿Albania,﻿Albanien Land
PALACIO DE LINARES,es,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES,﻿LINARES DE LINARES
Un popolo alla macchia,pl,﻿UN Popolo alla Macchia,﻿Popolo alla Macchia,﻿UN-Popolo alla Macchia,﻿Τα Ηνωμένα Έθνη Popolo alla Macchia,﻿UN Popolo alla Macchia,﻿UN Pocisne Macchia,﻿ÜRO Popolo alla Macchia,﻿YK:n Popoo alla Macchia,﻿ONU Popolo alla Macchia,﻿UN Popolo alla Macchia,﻿Il Popolo alla Macchia delle Nazioni Unite,﻿Partija „UN Polo alla Macchia“,﻿UN Popolo alla Macchia,,﻿Partido das Nações Unidas: popolo alla Macchia,﻿Popolo alla Macchia (ONU),﻿Popolo alla Macchia
adriano sousa lopes,fr,﻿Adriano svusa Lopes,﻿Adriano Sousa Lopes,﻿Adriano sousa Lopes,﻿Adriano susa Lopes,﻿Adriano sousa Lopes,﻿Adriano susa Lopes,﻿Adriano souso Lopes,﻿Adriano susa Lopes,,﻿Adriano susa Lopes,﻿Adriano incandescente Lopes,﻿„Adriano susa Lopes“,﻿Adriano sousa Lopes,﻿Adriano sausa Lopes,﻿Sr. Adriano Lopes,﻿Adriano soufa Lopes,﻿Adriano osousa Lopes
charles waring,en,﻿Charles wing,﻿Charles wliing,﻿Charles Wwad,﻿Καρόλωση,,﻿Charles Caring,﻿Charles Waring,﻿Charles wusing,﻿Charles Warring,﻿Charles Vraing,﻿Charles waring,﻿„Charles wdring“,﻿Charles waring,﻿Karkony Karola,﻿Charles wing,﻿Charles waring,﻿Charles wing
leopoldino de las cuevas,es,﻿jeskyně leopolskie,﻿huler leopolskie,"﻿Höhlen,",﻿σπηλιές,﻿caves leopolskie,,﻿Pileopolskie,﻿luolat;,﻿grottes,﻿Małopolskie,﻿grotte di Opole,﻿olurgi opolskie,﻿grotten,﻿opolskie,﻿grutas skie,﻿grote leopolskie,﻿grotters leopolskie
European Commission of the Danube,hu,﻿Evropská komise pro Dunaj,﻿Donaukommissionen,﻿Europäische Kommission der Donau,﻿Ευρωπαϊκή Επιτροπή Δούναβη,﻿European Commission of the Danube,﻿Comisión Europea del Danubio,﻿Euroopa Komisjon Doonau jõgi,﻿Tonavan suojelukomissio,﻿Commission européenne du Danube,,﻿Commissione europea del Danubio,﻿Europos Komisija Dunojaus upėje,﻿Europese Commissie van de Donau,﻿Komisja Dunaju,﻿Comissão Europeia do Danúbio,﻿Comisia Europeană a Dunării,﻿Donaukommissionen
abel paz,es,﻿mír,﻿fred,﻿Frieden,﻿ειρήνη,﻿peace,,﻿rahu,﻿rauha,﻿paix,﻿béke,﻿pace,﻿taikos,﻿vrede,﻿pokój,﻿paz,﻿pace,﻿fred
jean frellon,fr,﻿Jean horflon,﻿Jean horfllon,﻿Jean Hornisse,﻿Jean horfllon,﻿Jean horfllon,﻿Jean Horflalon,﻿Jean horflon,﻿Jean horfllon,,﻿Jean rosrollon,﻿Jean horflon,﻿Jean horllon,﻿Jean horfllon,﻿Jean horlolon,﻿Hhorflon,﻿Jean viesplan,﻿Jean horflon
Pont neuf,en,﻿Netýká se této položky.,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuf,﻿Pont neuse,﻿Pont neuf
guerino guerini,en,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerino Guerini,,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerino GUERINI,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerini Guerini,﻿Guerini Guerini,﻿Guerino Guerini,﻿Guerino Guerini,﻿Guerini Guerini,﻿Guerino Guerini
Imre Maria Benkert,fr,﻿Ire Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,,﻿Benkert Imre,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkert,﻿Ire Maria Benkert,﻿Imre Maria Benkert,﻿Imre Maria Benkasert,﻿Imre Maria Benkert
Acta pauli,de,﻿ACTA Pauli,﻿ACTA Pauli,,﻿Η ACTA Pauli,﻿ACTA Pauli,﻿Acta Pauli,﻿Võltsimisvastane kaubandusleping (ACTAH),﻿ACTA Pauli,﻿ACTA Pauli,﻿Az hamisítás elleni kereskedelmi megállapodás (ACTA),﻿ACTA Pai,﻿ACTA Pauli,﻿ACTA Pauli,﻿ACTA Pauli,﻿Ata Pauli do ATA,﻿ACTA Pauli,﻿Acta-avtalet Pauli
Abel Combes,fr,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,,﻿Abel Combes,﻿Abel Combines,﻿Abel Combes,﻿Abel Combes,﻿Abel Combes,﻿Abel Combines,﻿Abel Combes,﻿Abel Combes
Albert Londe,en,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Albert Londe,﻿Londe Albert Londe,﻿Albert Lond
